N,p,prop_first,prop_second
30,0.2,0.32666666666666666,0.36277777777777775
2,0.3,0.5,0.5
2,0.3,0.5,0.5
2,0.3,0.5,0.5
2,0.3,0.5,0.5
2,0.3,0.5,0.5
3,0.3,0.4444444444444444,0.4444444444444444
3,0.3,0.3888888888888889,0.5555555555555556
3,0.3,0.5,0.5
3,0.3,0.4444444444444444,0.5555555555555556
3,0.3,0.5,0.5
4,0.3,0.4375,0.5625
4,0.3,0.5,0.53125
4,0.3,0.3125,0.4375
4,0.3,0.34375,0.40625
4,0.3,0.34375,0.53125
5,0.3,0.42,0.52
5,0.3,0.52,0.54
5,0.3,0.4,0.46
5,0.3,0.42,0.46
5,0.3,0.42,0.5
6,0.3,0.4305555555555556,0.5694444444444444
6,0.3,0.375,0.5416666666666666
6,0.3,0.4027777777777778,0.5277777777777778
6,0.3,0.4305555555555556,0.5277777777777778
6,0.3,0.4305555555555556,0.4305555555555556
7,0.3,0.3979591836734694,0.5816326530612245
7,0.3,0.40816326530612246,0.5408163265306123
7,0.3,0.4387755102040816,0.5204081632653061
7,0.3,0.41836734693877553,0.4387755102040816
7,0.3,0.5204081632653061,0.5204081632653061
8,0.3,0.359375,0.546875
8,0.3,0.4453125,0.46875
8,0.3,0.3359375,0.4765625
8,0.3,0.46875,0.546875
8,0.3,0.4921875,0.5078125
9,0.3,0.5061728395061729,0.5061728395061729
9,0.3,0.37037037037037035,0.4074074074074074
9,0.3,0.24074074074074073,0.2654320987654321
9,0.3,0.37037037037037035,0.41358024691358025
9,0.3,0.30864197530864196,0.41358024691358025
10,0.3,0.41,0.49
10,0.3,0.3,0.325
10,0.3,0.465,0.525
10,0.3,0.39,0.525
10,0.3,0.27,0.47
11,0.3,0.38016528925619836,0.5165289256198347
11,0.3,0.359504132231405,0.4297520661157025
11,0.3,0.30578512396694213,0.5247933884297521
11,0.3,0.41735537190082644,0.5165289256198347
11,0.3,0.32644628099173556,0.32644628099173556
12,0.3,0.4027777777777778,0.4722222222222222
12,0.3,0.4131944444444444,0.4409722222222222
12,0.3,0.4375,0.4548611111111111
12,0.3,0.1909722222222222,0.3506944444444444
12,0.3,0.2847222222222222,0.5104166666666666
13,0.3,0.08284023668639054,0.4408284023668639
13,0.3,0.3875739644970414,0.4349112426035503
13,0.3,0.4171597633136095,0.5266272189349113
13,0.3,0.3727810650887574,0.5325443786982249
13,0.3,0.4467455621301775,0.48520710059171596
14,0.3,0.4387755102040816,0.4744897959183674
14,0.3,0.3852040816326531,0.5382653061224489
14,0.3,0.45153061224489793,0.5025510204081632
14,0.3,0.33163265306122447,0.49489795918367346
14,0.3,0.29846938775510207,0.3392857142857143
15,0.3,0.23333333333333334,0.23777777777777778
15,0.3,0.4533333333333333,0.49333333333333335
15,0.3,0.43333333333333335,0.44666666666666666
15,0.3,0.23555555555555555,0.31777777777777777
15,0.3,0.42444444444444446,0.4622222222222222
16,0.3,0.369140625,0.490234375
16,0.3,0.369140625,0.416015625
16,0.3,0.1796875,0.48046875
16,0.3,0.251953125,0.423828125
16,0.3,0.408203125,0.48046875
17,0.3,0.4429065743944637,0.49480968858131485
17,0.3,0.3166089965397924,0.47750865051903113
17,0.3,0.31141868512110726,0.39100346020761245
17,0.3,0.3166089965397924,0.34429065743944637
17,0.3,0.2820069204152249,0.4411764705882353
18,0.3,0.4351851851851852,0.4783950617283951
18,0.3,0.2808641975308642,0.32098765432098764
18,0.3,0.1867283950617284,0.35185185185185186
18,0.3,0.5108024691358025,0.5108024691358025
18,0.3,0.35030864197530864,0.4243827160493827
19,0.3,0.3268698060941828,0.3988919667590028
19,0.3,0.2451523545706371,0.5013850415512465
19,0.3,0.29085872576177285,0.4099722991689751
19,0.3,0.3698060941828255,0.425207756232687
19,0.3,0.3379501385041551,0.554016620498615
20,0.3,0.3425,0.4975
20,0.3,0.37375,0.38125
20,0.3,0.29,0.365
20,0.3,0.36,0.4625
20,0.3,0.3375,0.3925
21,0.3,0.30158730158730157,0.4399092970521542
21,0.3,0.25396825396825395,0.4331065759637188
21,0.3,0.31179138321995464,0.42403628117913833
21,0.3,0.3435374149659864,0.4931972789115646
21,0.3,0.3299319727891156,0.41836734693877553
22,0.3,0.39462809917355374,0.4535123966942149
22,0.3,0.39979338842975204,0.47830578512396693
22,0.3,0.16735537190082644,0.3884297520661157
22,0.3,0.30268595041322316,0.35640495867768596
22,0.3,0.1962809917355372,0.3646694214876033
23,0.3,0.41398865784499056,0.45652173913043476
23,0.3,0.2996219281663516,0.34688090737240074
23,0.3,0.2627599243856333,0.44328922495274103
23,0.3,0.24007561436672967,0.2542533081285444
23,0.3,0.40737240075614367,0.4877126654064272
24,0.3,0.2725694444444444,0.4262152777777778
24,0.3,0.23697916666666666,0.3072916666666667
24,0.3,0.2821180555555556,0.4071180555555556
24,0.3,0.4375,0.4730902777777778
24,0.3,0.2534722222222222,0.296875
25,0.3,0.4208,0.484
25,0.3,0.2848,0.2992
25,0.3,0.268,0.4088
25,0.3,0.3008,0.312
25,0.3,0.2152,0.3728
26,0.3,0.42529585798816566,0.4312130177514793
26,0.3,0.4171597633136095,0.4770710059171598
26,0.3,0.45340236686390534,0.45340236686390534
26,0.3,0.26701183431952663,0.3150887573964497
26,0.3,0.4156804733727811,0.47855029585798814
27,0.3,0.4122085048010974,0.4334705075445816
27,0.3,0.41358024691358025,0.4567901234567901
27,0.3,0.24005486968449932,0.4609053497942387
27,0.3,0.4348422496570645,0.46227709190672156
27,0.3,0.4451303155006859,0.46227709190672156
28,0.3,0.28316326530612246,0.32142857142857145
28,0.3,0.32971938775510207,0.3552295918367347
28,0.3,0.32653061224489793,0.36543367346938777
28,0.3,0.31186224489795916,0.40561224489795916
28,0.3,0.37244897959183676,0.4017857142857143
29,0.3,0.21581450653983353,0.41200951248513673
29,0.3,0.29369797859690844,0.37158145065398335
29,0.3,0.3055885850178359,0.4346016646848989
29,0.3,0.3513674197384067,0.4589774078478002
29,0.3,0.42092746730083236,0.4304399524375743
30,0.3,0.40055555555555555,0.45944444444444443
30,0.3,0.3022222222222222,0.31333333333333335
30,0.3,0.305,0.42
30,0.3,0.39222222222222225,0.4177777777777778
30,0.3,0.4588888888888889,0.4905555555555556
2,0.4,0.5,0.5
2,0.4,0.5,0.5
2,0.4,0.5,0.5
2,0.4,0.5,0.5
2,0.4,0.5,0.5
3,0.4,0.4444444444444444,0.5555555555555556
3,0.4,0.4444444444444444,0.5555555555555556
3,0.4,0.5,0.5
3,0.4,0.5,0.5
3,0.4,0.5,0.5
4,0.4,0.46875,0.53125
4,0.4,0.4375,0.46875
4,0.4,0.4375,0.5625
4,0.4,0.5,0.5
4,0.4,0.40625,0.5
5,0.4,0.5,0.52
5,0.4,0.48,0.52
5,0.4,0.42,0.5
5,0.4,0.38,0.5
5,0.4,0.4,0.42
6,0.4,0.2777777777777778,0.2777777777777778
6,0.4,0.4444444444444444,0.4583333333333333
6,0.4,0.3611111111111111,0.5138888888888888
6,0.4,0.2916666666666667,0.5
6,0.4,0.4027777777777778,0.5833333333333334
7,0.4,0.45918367346938777,0.5306122448979592
7,0.4,0.4489795918367347,0.5612244897959183
7,0.4,0.42857142857142855,0.4489795918367347
7,0.4,0.46938775510204084,0.5
7,0.4,0.4897959183673469,0.5204081632653061
8,0.4,0.4140625,0.4140625
8,0.4,0.3203125,0.4453125
8,0.4,0.3828125,0.4296875
8,0.4,0.3046875,0.4765625
8,0.4,0.4140625,0.421875
9,0.4,0.4567901234567901,0.5
9,0.4,0.21604938271604937,0.3765432098765432
9,0.4,0.4567901234567901,0.5679012345679012
9,0.4,0.37037037037037035,0.4506172839506173
9,0.4,0.4382716049382716,0.4382716049382716
10,0.4,0.31,0.435
10,0.4,0.405,0.445
10,0.4,0.43,0.505
10,0.4,0.385,0.385
10,0.4,0.425,0.52
11,0.4,0.4049586776859504,0.4132231404958678
11,0.4,0.2066115702479339,0.5206611570247934
11,0.4,0.2603305785123967,0.32231404958677684
11,0.4,0.371900826446281,0.47107438016528924
11,0.4,0.3925619834710744,0.5041322314049587
12,0.4,0.4513888888888889,0.5173611111111112
12,0.4,0.4583333333333333,0.46875
12,0.4,0.3055555555555556,0.3854166666666667
12,0.4,0.3923611111111111,0.53125
12,0.4,0.3541666666666667,0.5034722222222222
13,0.4,0.3136094674556213,0.3727810650887574
13,0.4,0.378698224852071,0.4881656804733728
13,0.4,0.40828402366863903,0.4526627218934911
13,0.4,0.46745562130177515,0.47928994082840237
13,0.4,0.41124260355029585,0.4437869822485207
14,0.4,0.4107142857142857,0.42857142857142855
14,0.4,0.3392857142857143,0.4719387755102041
14,0.4,0.4897959183673469,0.49489795918367346
14,0.4,0.42857142857142855,0.4744897959183674
14,0.4,0.3010204081632653,0.4872448979591837
15,0.4,0.3933333333333333,0.4266666666666667
